date,open,close,high,low,volume,above_average_count,below_average_count,crossover_count,trade_positive,trade_negative,trade_before_crossover,trade_after_crossover
2024-10-23,51117.8,51234.95,51327.7,51117.8,0,150,22,3,1,2,-19.35000000000582,146.0
2024-10-22,51273.6,51271.6,51312.15,51253.6,0,56,318,3,2,1,82.60000000000582,217.64999999999418
2024-10-21,51876.45,51857.05,51878.95,51855.15,0,14,360,1,0,1,-486.1499999999942,59.200000000004366
2024-10-18,52126.35,52138.7,52144.65,52102.5,0,355,19,1,1,0,875.1499999999942,71.25
2024-10-17,51277.6,51269.55,51299.85,51247.9,0,0,374,1,0,1,-516.1999999999971,107.15000000000146
2024-10-16,51796.25,51796.4,51805.9,51783.7,0,372,2,3,1,2,4.200000000004366,88.80000000000291
2024-10-15,51963.15,51945.4,51968.0,51934.5,0,19,355,3,2,1,-19.25,108.95000000000437
2024-10-14,51861.9,51879.05,51893.0,51848.75,0,374,0,0,0,0,573.6000000000058,0.0
2024-10-11,51184.15,51189.25,51191.9,51164.35,0,39,335,3,2,1,19.10000000000582,61.349999999998545
2024-10-10,51498.05,51533.4,51533.4,51493.15,0,345,29,3,2,1,-4.75,128.29999999999563
2024-10-09,51089.25,51088.2,51108.9,51068.6,0,131,243,3,1,2,-76.15000000000146,192.1999999999971
2024-10-08,51070.85,51075.85,51093.25,51049.55,0,367,7,3,2,1,114.05000000000291,167.09999999999127
2024-10-07,50664.8,50617.8,50664.8,50614.25,0,9,365,3,1,2,-123.34999999999854,179.15000000000146
2024-10-04,51560.4,51555.75,51561.3,51509.45,0,191,183,3,1,2,108.09999999999854,245.45000000000437
2024-10-03,51891.35,51860.85,51898.25,51854.3,0,43,331,3,2,1,-64.75,289.04999999999563
2024-10-01,52969.25,52980.0,52993.95,52964.2,0,82,292,3,1,2,-104.00000000000728,71.19999999998981
2024-09-30,53002.7,52989.7,53008.75,52971.4,0,2,372,1,0,1,-613.9499999999971,30.950000000004366
2024-09-27,53823.2,53834.3,53834.3,53801.9,0,63,311,3,1,2,-1.5,54.900000000001455
2024-09-26,54259.4,54281.5,54284.85,54243.75,0,365,9,3,1,2,33.94999999999709,105.09999999999854
2024-09-25,54106.95,54135.75,54141.3,54091.1,0,374,0,0,0,0,280.84999999999854,0.0
