,date,open,high,low,close,volume,avg,crossover,trade_value
0,2024-10-21 09:15:00+05:30,52361.1,52420.3,52272.55,52402.4,0,52346,1,56
1,2024-10-21 09:16:00+05:30,52401.3,52481.45,52388.5,52462.45,0,52434,1,28
2,2024-10-21 09:17:00+05:30,52469.9,52532.3,52454.75,52512.4,0,52493,1,19
3,2024-10-21 09:18:00+05:30,52516.95,52538.75,52502.8,52513.95,0,52520,0,-6
4,2024-10-21 09:19:00+05:30,52512.45,52522.0,52483.5,52495.95,0,52502,0,-6
5,2024-10-21 09:20:00+05:30,52495.75,52564.95,52456.1,52555.05,0,52510,1,45
6,2024-10-21 09:21:00+05:30,52551.35,52565.75,52518.5,52534.8,0,52542,0,-7
7,2024-10-21 09:22:00+05:30,52537.55,52549.7,52504.3,52534.7,0,52527,1,7
8,2024-10-21 09:23:00+05:30,52536.55,52569.75,52518.7,52562.55,0,52544,1,18
9,2024-10-21 09:24:00+05:30,52565.15,52577.5,52538.6,52540.3,0,52558,0,-17
10,2024-10-21 09:25:00+05:30,52541.05,52564.1,52527.4,52527.4,0,52545,0,-17
11,2024-10-21 09:26:00+05:30,52520.95,52537.4,52497.7,52497.7,0,52517,0,-19
12,2024-10-21 09:27:00+05:30,52501.2,52501.2,52427.35,52439.15,0,52464,0,-24
13,2024-10-21 09:28:00+05:30,52446.75,52455.8,52400.0,52447.45,0,52427,1,20
14,2024-10-21 09:29:00+05:30,52446.8,52455.1,52392.4,52398.4,0,52423,0,-24
15,2024-10-21 09:30:00+05:30,52391.95,52393.95,52329.05,52339.2,0,52361,0,-21
16,2024-10-21 09:31:00+05:30,52338.95,52338.95,52271.7,52317.05,0,52305,1,12
17,2024-10-21 09:32:00+05:30,52317.7,52326.95,52239.35,52250.75,0,52283,0,-32
18,2024-10-21 09:33:00+05:30,52259.85,52264.3,52199.3,52203.25,0,52231,0,-27
19,2024-10-21 09:34:00+05:30,52199.4,52253.15,52195.65,52220.7,0,52224,0,-3
20,2024-10-21 09:35:00+05:30,52223.75,52231.55,52134.6,52163.8,0,52183,0,-19
21,2024-10-21 09:36:00+05:30,52165.9,52184.5,52130.15,52155.75,0,52157,0,-1
22,2024-10-21 09:37:00+05:30,52172.55,52204.6,52158.9,52182.35,0,52181,1,1
23,2024-10-21 09:38:00+05:30,52179.75,52194.2,52109.7,52112.45,0,52151,0,-38
24,2024-10-21 09:39:00+05:30,52122.25,52142.2,52098.35,52107.55,0,52120,0,-12
25,2024-10-21 09:40:00+05:30,52109.35,52125.0,52085.65,52111.45,0,52105,1,6
26,2024-10-21 09:41:00+05:30,52111.3,52157.4,52096.85,52108.25,0,52127,0,-18
27,2024-10-21 09:42:00+05:30,52103.1,52103.1,52055.85,52060.7,0,52079,0,-18
